"Trace 0, x","Trace 0, y","January, x; February, x; March, x; April, x; May, x; June, x; July, x; August, x; September, x; October, x; November, x; December, x","January, y","January, text","Trace 2, x","Trace 2, y","February, y","February, text","Trace 4, x","Trace 4, y","March, y","March, text","Trace 6, x","Trace 6, y","April, y","April, text","Trace 8, x","Trace 8, y","May, y","May, text","Trace 10, x","Trace 10, y","June, y","June, text","Trace 12, x","Trace 12, y","July, y","July, text","Trace 14, x","Trace 14, y","August, y","August, text","Trace 16, x","Trace 16, y","September, y","September, text","Trace 18, x","Trace 18, y","October, y","October, text","Trace 20, x","Trace 20, y","November, y","November, text","Trace 22, x","Trace 22, y","December, y","December, text"
0,1.139342359,0,1.164191847,January<br>temp: 0.0<br>pdf(temp): 0.02,1,1.044397162,1.064036148,February<br>temp: 0.0<br>pdf(temp): 0.02,4,0.949451966,0.949475334,March<br>temp: 0.0<br>pdf(temp): 0.00,4,0.854506769,0.854696093,April<br>temp: 0.0<br>pdf(temp): 0.00,8,0.759561573,0.759561601,May<br>temp: 0.0<br>pdf(temp): 0.00,12,0.664616376,0.664616376,June<br>temp: 0.0<br>pdf(temp): 0.00,15,0.569671179,0.569671179,July<br>temp: 0.0<br>pdf(temp): 0.00,14,0.474725983,0.474725983,August<br>temp: 0.0<br>pdf(temp): 0.00,14,0.379780786,0.379780786,September<br>temp: 0.0<br>pdf(temp): 0.00,8,0.28483559,0.28483559,October<br>temp: 0.0<br>pdf(temp): 0.00,0,0.189890393,0.211822763,November<br>temp: 0.0<br>pdf(temp): 0.02,2,0.094945197,0.106250428,December<br>temp: 0.0<br>pdf(temp): 0.01
10,1.139342359,0.303030303,1.17023602,January<br>temp: 0.3<br>pdf(temp): 0.03,12,1.044397162,1.069695827,February<br>temp: 0.3<br>pdf(temp): 0.03,10,0.949451966,0.949528459,March<br>temp: 0.3<br>pdf(temp): 0.00,14,0.854506769,0.854847924,April<br>temp: 0.3<br>pdf(temp): 0.00,20,0.759561573,0.759561645,May<br>temp: 0.3<br>pdf(temp): 0.00,26,0.664616376,0.664616376,June<br>temp: 0.3<br>pdf(temp): 0.00,26,0.569671179,0.569671179,July<br>temp: 0.3<br>pdf(temp): 0.00,28,0.474725983,0.474725983,August<br>temp: 0.3<br>pdf(temp): 0.00,28,0.379780786,0.379780786,September<br>temp: 0.3<br>pdf(temp): 0.00,15,0.28483559,0.28483559,October<br>temp: 0.3<br>pdf(temp): 0.00,14,0.189890393,0.215186422,November<br>temp: 0.3<br>pdf(temp): 0.03,9,0.094945197,0.114845281,December<br>temp: 0.3<br>pdf(temp): 0.02
,,0.606060606,1.177096626,January<br>temp: 0.6<br>pdf(temp): 0.04,,,1.076299876,February<br>temp: 0.6<br>pdf(temp): 0.03,,,0.949680303,March<br>temp: 0.6<br>pdf(temp): 0.00,,,0.855097111,April<br>temp: 0.6<br>pdf(temp): 0.00,,,0.759561752,May<br>temp: 0.6<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 0.6<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 0.6<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 0.6<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 0.6<br>pdf(temp): 0.00,,,0.28483559,October<br>temp: 0.6<br>pdf(temp): 0.00,,,0.218608488,November<br>temp: 0.6<br>pdf(temp): 0.03,,,0.127189051,December<br>temp: 0.6<br>pdf(temp): 0.03
,,0.909090909,1.184587734,January<br>temp: 0.9<br>pdf(temp): 0.05,,,1.083844149,February<br>temp: 0.9<br>pdf(temp): 0.04,,,0.950073733,March<br>temp: 0.9<br>pdf(temp): 0.00,,,0.855489133,April<br>temp: 0.9<br>pdf(temp): 0.00,,,0.759562001,May<br>temp: 0.9<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 0.9<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 0.9<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 0.9<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 0.9<br>pdf(temp): 0.00,,,0.28483559,October<br>temp: 0.9<br>pdf(temp): 0.00,,,0.222002552,November<br>temp: 0.9<br>pdf(temp): 0.03,,,0.143182814,December<br>temp: 0.9<br>pdf(temp): 0.05
,,1.212121212,1.192375944,January<br>temp: 1.2<br>pdf(temp): 0.05,,,1.092285007,February<br>temp: 1.2<br>pdf(temp): 0.05,,,0.950997214,March<br>temp: 1.2<br>pdf(temp): 0.00,,,0.856081528,April<br>temp: 1.2<br>pdf(temp): 0.00,,,0.759562559,May<br>temp: 1.2<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 1.2<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 1.2<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 1.2<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 1.2<br>pdf(temp): 0.00,,,0.28483559,October<br>temp: 1.2<br>pdf(temp): 0.00,,,0.225289314,November<br>temp: 1.2<br>pdf(temp): 0.04,,,0.16187186,December<br>temp: 1.2<br>pdf(temp): 0.07
,,1.515151515,1.200007436,January<br>temp: 1.5<br>pdf(temp): 0.06,,,1.101525057,February<br>temp: 1.5<br>pdf(temp): 0.06,,,0.952959475,March<br>temp: 1.5<br>pdf(temp): 0.00,,,0.856943639,April<br>temp: 1.5<br>pdf(temp): 0.00,,,0.759563767,May<br>temp: 1.5<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 1.5<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 1.5<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 1.5<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 1.5<br>pdf(temp): 0.00,,,0.28483559,October<br>temp: 1.5<br>pdf(temp): 0.00,,,0.228411208,November<br>temp: 1.5<br>pdf(temp): 0.04,,,0.1816047,December<br>temp: 1.5<br>pdf(temp): 0.09
,,1.818181818,1.206980892,January<br>temp: 1.8<br>pdf(temp): 0.07,,,1.111395073,February<br>temp: 1.8<br>pdf(temp): 0.07,,,0.956731004,March<br>temp: 1.8<br>pdf(temp): 0.01,,,0.858155744,April<br>temp: 1.8<br>pdf(temp): 0.00,,,0.759566287,May<br>temp: 1.8<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 1.8<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 1.8<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 1.8<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 1.8<br>pdf(temp): 0.00,,,0.28483559,October<br>temp: 1.8<br>pdf(temp): 0.00,,,0.23134715,November<br>temp: 1.8<br>pdf(temp): 0.04,,,0.200560511,December<br>temp: 1.8<br>pdf(temp): 0.11
,,2.121212121,1.212853683,January<br>temp: 2.1<br>pdf(temp): 0.07,,,1.121637188,February<br>temp: 2.1<br>pdf(temp): 0.08,,,0.963283344,March<br>temp: 2.1<br>pdf(temp): 0.01,,,0.859807973,April<br>temp: 2.1<br>pdf(temp): 0.01,,,0.759571352,May<br>temp: 2.1<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 2.1<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 2.1<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 2.1<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 2.1<br>pdf(temp): 0.00,,,0.284835592,October<br>temp: 2.1<br>pdf(temp): 0.00,,,0.23412385,November<br>temp: 2.1<br>pdf(temp): 0.04,,,0.217388575,December<br>temp: 2.1<br>pdf(temp): 0.12
,,2.424242424,1.217354799,January<br>temp: 2.4<br>pdf(temp): 0.08,,,1.131897251,February<br>temp: 2.4<br>pdf(temp): 0.09,,,0.973567991,March<br>temp: 2.4<br>pdf(temp): 0.02,,,0.861999161,April<br>temp: 2.4<br>pdf(temp): 0.01,,,0.759581169,May<br>temp: 2.4<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 2.4<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 2.4<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 2.4<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 2.4<br>pdf(temp): 0.00,,,0.2848356,October<br>temp: 2.4<br>pdf(temp): 0.00,,,0.236819992,November<br>temp: 2.4<br>pdf(temp): 0.05,,,0.231555477,December<br>temp: 2.4<br>pdf(temp): 0.14
,,2.727272727,1.220472255,January<br>temp: 2.7<br>pdf(temp): 0.08,,,1.141734688,February<br>temp: 2.7<br>pdf(temp): 0.10,,,0.988155792,March<br>temp: 2.7<br>pdf(temp): 0.04,,,0.864834832,April<br>temp: 2.7<br>pdf(temp): 0.01,,,0.759599509,May<br>temp: 2.7<br>pdf(temp): 0.00,,,0.664616376,June<br>temp: 2.7<br>pdf(temp): 0.00,,,0.569671179,July<br>temp: 2.7<br>pdf(temp): 0.00,,,0.474725983,August<br>temp: 2.7<br>pdf(temp): 0.00,,,0.379780786,September<br>temp: 2.7<br>pdf(temp): 0.00,,,0.284835642,October<br>temp: 2.7<br>pdf(temp): 0.00,,,0.239560414,November<br>temp: 2.7<br>pdf(temp): 0.05,,,0.243144702,December<br>temp: 2.7<br>pdf(temp): 0.15
